schemaVersion,recordType,source,content,collectedAt
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/lucidrains/deep-daze'}","{'entityName': 'lucidrains', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327535
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/ourownstory/neural_prophet'}","{'entityName': 'ourownstory', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327540
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/oracle-devrel/oracle-ai-developer-hub'}","{'entityName': 'oracle-devrel', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327550
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/mongodb-developer/GenAI-Showcase'}","{'entityName': 'mongodb-developer', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327559
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/vicky002/AlgoWiki'}","{'entityName': 'vicky002', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327574
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/CodeCutTech/Data-science'}","{'entityName': 'CodeCutTech', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327579
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/alvinreal/awesome-opensource-ai'}","{'entityName': 'alvinreal', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327584
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/baichuan-inc/Baichuan2'}","{'entityName': 'baichuan-inc', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327589
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/google-deepmind/learning-to-learn'}","{'entityName': 'google-deepmind', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327594
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/opengeos/segment-geospatial'}","{'entityName': 'opengeos', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327599
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/aadi1011/AI-ML-Roadmap-from-scratch'}","{'entityName': 'aadi1011', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327606
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/TarrySingh/Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials'}","{'entityName': 'TarrySingh', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327611
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/lucidrains/vector-quantize-pytorch'}","{'entityName': 'lucidrains', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327619
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/gopherdata/gophernotes'}","{'entityName': 'gopherdata', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327624
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/Nixtla/nixtla'}","{'entityName': 'Nixtla', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327629
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/Lightning-AI/LitServe'}","{'entityName': 'Lightning-AI', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327634
