schemaVersion,recordType,source,content,collectedAt
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/Svalorzen/AI-Toolbox'}","{'startupName': 'Svalorzen', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855442
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/lucidrains/magvit2-pytorch'}","{'startupName': 'lucidrains', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855445
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/yuniko-software/minecraft-mcp-server'}","{'startupName': 'yuniko-software', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855447
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/iffse/pay-respects'}","{'startupName': 'iffse', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855450
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/aimagelab/dress-code'}","{'startupName': 'aimagelab', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855453
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/ShahariarRabby/deeplearning.ai'}","{'startupName': 'ShahariarRabby', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855455
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/lucidrains/MEGABYTE-pytorch'}","{'startupName': 'lucidrains', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855457
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/lucidrains/ema-pytorch'}","{'startupName': 'lucidrains', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855460
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/SkyWorkAIGC/SkyPaint-AI-Diffusion'}","{'startupName': 'SkyWorkAIGC', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855463
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/lucidrains/memorizing-transformers-pytorch'}","{'startupName': 'lucidrains', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855465
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/reservoirpy/reservoirpy'}","{'startupName': 'reservoirpy', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855468
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/OpenGVLab/GITM'}","{'startupName': 'OpenGVLab', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855471
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/hyperquest-hq/hyperbase'}","{'startupName': 'hyperquest-hq', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855473
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/SimonZeng7108/efficientsam3'}","{'startupName': 'SimonZeng7108', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855476
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/BotLibre/BotLibre'}","{'startupName': 'BotLibre', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855478
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/gugarosa/opytimizer'}","{'startupName': 'gugarosa', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855481
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/lzhbrian/Cool-Fashion-Papers'}","{'startupName': 'lzhbrian', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855483
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/sotetsuk/pgx'}","{'startupName': 'sotetsuk', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855486
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/google-research/ravens'}","{'startupName': 'google-research', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855488
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/wshobson/maverick-mcp'}","{'startupName': 'wshobson', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855491
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/lofcz/LLMTornado'}","{'startupName': 'lofcz', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855494
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/akanimax/BMSG-GAN'}","{'startupName': 'akanimax', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855496
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/SciPhi-AI/synthesizer'}","{'startupName': 'SciPhi-AI', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855499
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/frontman-ai/frontman'}","{'startupName': 'frontman-ai', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855501
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/csinva/csinva.github.io'}","{'startupName': 'csinva', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855504
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/danijar/dreamer'}","{'startupName': 'danijar', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855511
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/cdqa-suite/cdQA'}","{'startupName': 'cdqa-suite', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855514
